modality	code	language_of_datasheet
sps	en	en
sps	cdo	en
sps	ms-MY	en
sps	bsy	en
sps	msi	en
sps	kzi	en
sps	cpx	en
sps	mel	en
sps	sdo	en
sps	xkl	en
sps	pne	en
sps	snv	en
sps	fr	en
sps	mmc	es
sps	tr	en
sps	meh	es
sps	top	es
sps	sco	en
sps	bew	en
sps	hch	es
sps	aat	en
sps	an	en
sps	tob	en
sps	aln	en
sps	kcn	en
sps	lth	en
sps	ush	en
sps	lke	en
sps	ruc	en
sps	ukv	en
sps	hac	en
sps	el-CY	en
sps	qxp	en
sps	gv	en
sps	kbd	en
sps	ady	en
sps	lij	en
sps	bxk	en
sps	koo	en
sps	lv	en
sps	rwm	en
sps	cgg	en
sps	ttj	en
sps	ka	en
sps	cy	en
sps	br	en
sps	ca	en
sps	led	en
sps	gsw	en
sps	gl	en
sps	brx	en
sps	bas	en
sps	de	en
sps	ba	en
sps	ga-IE	en
sps	ru	en
sps	seh	en
scs	en	en
scs	de	en
scs	fr	en
scs	cy	en
scs	br	en
scs	cv	en
scs	tr	en
scs	tt	en
scs	kab	en
scs	ky	en
scs	ga-IE	en
scs	sl	en
scs	ca	en
scs	it	en
scs	zh-TW	en
scs	eo	en
scs	nl	en
scs	zh-CN	en
scs	zh-HK	en
scs	an	en
scs	ar	en
scs	as	en
scs	ast	en
scs	az	en
scs	bg	en
scs	bn	en
scs	cnh	en
scs	cs	en
scs	da	en
scs	dsb	en
scs	el	en
scs	es	en
scs	et	en
scs	eu	en
scs	fa	en
scs	fi	en
scs	fy-NL	en
scs	he	en
scs	hsb	en
scs	hu	en
scs	ia	en
scs	id	en
scs	is	en
scs	ja	en
scs	ka	en
scs	kk	en
scs	ko	en
scs	kw	en
scs	mdf	en
scs	mk	en
scs	mn	en
scs	myv	en
scs	nb-NO	en
scs	ne-NP	en
scs	nn-NO	en
scs	oc	en
scs	or	en
scs	pl	en
scs	pt	en
scs	rm-sursilv	en
scs	ro	en
scs	ru	en
scs	sah	en
scs	sc	en
scs	sk	en
scs	sq	en
scs	sr	en
scs	sv-SE	en
scs	ta	en
scs	te	en
scs	th	en
scs	uk	en
scs	ur	en
scs	uz	en
scs	vi	en
scs	af	en
scs	ab	en
scs	ady	en
scs	am	en
scs	dv	en
scs	mhr	en
scs	mrj	en
scs	vot	en
scs	rw	en
scs	lt	en
scs	gl	en
scs	lv	en
scs	lij	en
scs	tg	en
scs	ba	en
scs	ha	en
scs	ckb	en
scs	ml	en
scs	rm-vallader	en
scs	mt	en
scs	sw	en
scs	be	en
scs	pa-IN	en
scs	kbd	en
scs	lg	en
scs	hy-AM	en
scs	hi	en
scs	gn	en
scs	kmr	en
scs	bas	en
scs	yue	en
scs	ht	en
scs	mr	en
scs	ms	en
scs	ps	en
scs	ug	en
scs	tw	en
scs	yo	en
scs	sat	en
scs	nan-tw	en
scs	yi	en
scs	ig	en
scs	ti	en
scs	tig	en
