code	modality	issue
pt-BR	scs	1277
bas	scs	2918
yue	scs	2926
yue	scs	2926
ht	scs	2944
ps	scs	2990
ms	scs	3002
mr	scs	3004
wo	scs	3012
gl	scs	3020
ug	scs	3026
shi	scs	3032
so	scs	3035
pap	scs	3044
ie	scs	3047
kn	scs	3056
kn	scs	3093
tw	scs	3157
ar	scs	3163
nan-tw	scs	3194
ar	scs	3233
ar	scs	3234
lg	scs	3253
yi	scs	3256
kok	scs	3266
ig	scs	3274
mni	scs	3336
tig	scs	3338
tk	scs	3340
qu	scs	3373
bn	scs	3414
tok	scs	3435
mhr	scs	3459
ple	scs	3508
nso	scs	3679
zu	scs	3721
cdo	scs	3787
udm	scs	3828
byv	scs	3846
wo	scs	3861
tyv	scs	3862
nhe	scs	3879
hrx	scs	3887
nhi	scs	3889
bft	scs	3923
ltg	scs	4060
ewo	scs	4157
gu	scs	4159
vmw	scs	4164
iso	scs	4223
dav	scs	4331
kln	scs	4335
luo	scs	4339
kln	scs	4347
bal	scs	4384
gos	scs	4424
nqo	scs	4466
shn	scs	4488
rif	scs	4497
dar	scs	4504
hr	scs	4557
aa	scs	4561
qxp	scs	4591
ee	scs	4607
kok	scs	4673
gv	scs	4676
krc	scs	4685
lld	scs	4725
lld	scs	4726
din	scs	4731
jam	scs	4764
rnr	scs	4765
new	scs	4766
ks	scs	4767
ary	scs	4769
iso	scs	4775
the	scs	4779
kam	scs	4796
run	scs	4797
lrl	scs	4833
iba	scs	4871
la	scs	4877
sn	scs	4907
brx	scs	4919
gaa	scs	4923
dag	scs	4924
xsm	scs	4925
mrh	scs	4936
af	scs	4939
abq	scs	4943
qxq	scs	4958
iso	scs	4962
xdq	scs	4972
rif	scs	5005
ps	scs	5008
pcd	scs	5009
evn	scs	5016
sen	scs	5025
th	sps	5057
lv	sps	4878
ka	sps	4900
cy	sps 	4906
da	sps	4908 
br	sps	4910
ca	sps	4911
gl	sps	4913
brx	sps	4917
gsw	sps	4918
mrh	sps	4937
es	sps	4946
de	sps	4970
sn	sps	4976
ga-IE	sps	4978
ba	sps	4979
bas	sps	4983
fy-NL	sps	4986
ru	sps	4998
pcd	sps	5009
seh	sps	5024
nhi	sps	5036
