modality	code	native_name	english_name	speakers	hours_recorded	hours_validated
scs	en	English	English	99525	3796	2698
scs	de	Deutsch	German	20454	1491	1384
scs	fr	Français	French	20959	1199	1088
scs	cy	Cymraeg	Welsh	1932	159	124
scs	br	Brezhoneg	Breton	278	33	31
scs	cv	Чӑвашла	Chuvash	122	29	27
scs	tr	Türkçe	Turkish	1806	135	129
scs	tt	Татар	Tatar	289	34	32
scs	kab	Taqbaylit	Kabyle	1610	705	571
scs	ky	Кыргызча	Kyrgyz	299	49	39
scs	ga-IE	Gaeilge	Irish	271	18	14
scs	sl	slovenščina	Slovenian	1004	22	18
scs	ca	català	Catalan	36958	3432	2906
scs	it	Italiano	Italian	7345	452	364
scs	zh-TW	華語（台灣）	Chinese (Taiwan)	2305	131	77
scs	eo	Esperanto	Esperanto	1891	1962	1438
scs	nl	Nederlands	Dutch	1874	141	124
scs	zh-CN	汉语（中国大陆）	Chinese (China)	7548	1093	238
scs	zh-HK	中文（香港）	Chinese (Hong Kong)	3110	143	108
scs	an	Aragonés	Aragonese	53	18	17
scs	ar	العربية	Arabic	1664	158	92
scs	as	অসমীয়া	Assamese	51	7.7	2.8
scs	ast	Asturianu	Asturian	31	2	0.9
scs	az	Azərbaycanca	Azerbaijani	45	1.5	0.6
scs	bg	Български	Bulgarian	148	22	16
scs	bn	বাংলা	Bengali	23006	1278	49
scs	cnh	Laiholh (Hakha)	Hakha Chin	300	4.8	1.9
scs	cs	Čeština	Czech	1132	272	75
scs	da	Dansk	Danish	296	17	13
scs	dsb	Dolnoserbšćina	Sorbian, Lower	1	0	0
scs	el	Ελληνικά	Greek	451	34	20
scs	es	Español	Spanish	26876	2295	450
scs	et	eesti	Estonian	1067	68	61
scs	eu	Euskara	Basque	11049	715	454
scs	fa	فارسی	Persian	4642	437	372
scs	fi	suomi	Finnish	249	24	15
scs	fy-NL	Frysk	Frisian	2115	227	66
scs	he	עברית	Hebrew	55	7	3.3
scs	hsb	Hornjoserbšćina	Sorbian, Upper	32	4.4	3.1
scs	hu	Magyar	Hungarian	1692	185	103
scs	ia	Interlingua	Interlingua	72	18	15
scs	id	Bahasa Indonesia	Indonesian	657	67	34
scs	is	Íslenska	Icelandic	8	0.7	0.1
scs	ja	日本語	Japanese	7521	721	356
scs	ka	ქართული	Georgian	2780	332	168
scs	kk	Қазақ тілі	Kazakh	195	3.8	2.3
scs	ko	한국어	Korean	195	11	2.1
scs	kw	Kernowek	Cornish	10	13	13
scs	mdf	Мокшень кяль	Moksha	11	0.5	0.5
scs	mk	Македонски	Macedonian	470	55	21
scs	mn	Монгол хэл	Mongolian	610	142	46
scs	myv	Эрзянь кель	Erzya	13	3.9	3.8
scs	nb-NO	Norsk (bokmål)	Norwegian Bokmål	67	2.6	2.3
scs	ne-NP	नेपाली	Nepali	61	1.9	1.3
scs	nn-NO	Norsk (nynorsk)	Norwegian Nynorsk	40	1.7	1.6
scs	oc	occitan	Occitan	150	14	1.9
scs	or	ଓଡ଼ିଆ	Odia	164	38	2.8
scs	pl	polski	Polish	3458	192	176
scs	pt	Português	Portuguese	3820	230	182
scs	rm-sursilv	romontsch sursilvan	Romansh Sursilvan	91	12	6.6
scs	ro	Română	Romanian	459	50	21
scs	ru	Русский	Russian	3646	292	248
scs	sah	Саха тыла	Sakha	247	24	16
scs	sc	Sardu	Sardinian	41	3.7	2.9
scs	sk	Slovenčina	Slovak	270	60	52
scs	sq	Shqip	Albanian	152	9.4	9
scs	sr	Српски	Serbian	186	15	7.6
scs	sv-SE	Svenska	Swedish	890	57	48
scs	ta	தமிழ்	Tamil	986	432	235
scs	te	తెలుగు	Telugu	63	2.9	0.3
scs	th	ไทย	Thai	8057	428	172
scs	uk	Українська	Ukrainian	1164	117	99
scs	ur	اردو	Urdu	498	304	77
scs	uz	O‘zbek	Uzbek	2282	266	101
scs	vi	Việt	Vietnamese	374	22	6.6
scs	af	Afrikaans	Afrikaans	65	1.6	0.6
scs	ab	Аԥсуа	Abkhaz	516	116	74
scs	ady	Адыгабзэ	Adyghe	139	64	58
scs	am	አማርኛ	Amharic	46	2.9	1.8
scs	dv	ދިވެހި	Dhivehi	392	62	39
scs	mhr	Марий	Meadow Mari	500	304	282
scs	mrj	Кырык мары	Hill Mari	60	38	34
scs	vot	vad̕d̕a	Votic	6	0.5	0.1
scs	rw	Ikinyarwanda	Kinyarwanda	1179	2388	2002
scs	lt	Lietuvių	Lithuanian	332	36	25
scs	gl	Galego	Galician	6672	383	237
scs	lv	Latviešu	Latvian	6577	313	265
scs	lij	Ligure	Ligurian	39	5.7	5.1
scs	tg	Тоҷикӣ	Tajik	7	0.8	0.7
scs	ba	Башҡорт	Bashkir	940	279	259
scs	ha	Hausa	Hausa	61	13	4.2
scs	ckb	کوردیی ناوەندی	Central Kurdish	1981	194	136
scs	ml	മലയാളം	Malayalam	154	12	2.8
scs	rm-vallader	Rumantsch vallader	Romansh Vallader	55	5	2.9
