language_name,language_code,issue_number,issue_url,title,state,created_at
Sena,sen,5025,https://github.com/common-voice/common-voice/issues/5025,LOCALISATION REQUEST: Sena,open,2025-08-04T16:30:30Z
Evenki,evn,5016,https://github.com/common-voice/common-voice/issues/5016,LOCALISATION REQUEST: Evenki,open,2025-08-03T09:23:43Z
Picard,pcd,5009,https://github.com/common-voice/common-voice/issues/5009,LOCALISATION REQUEST: Picard,closed,2025-07-31T07:42:21Z
Pashto,ps,5008,https://github.com/common-voice/common-voice/issues/5008,LOCALISATION REQUEST: Pashto (ps),closed,2025-07-30T05:53:53Z
Tarifit,rif,5005,https://github.com/common-voice/common-voice/issues/5005,LOCALISATION REQUEST: Tarifit,closed,2025-07-27T11:28:59Z
KAITAG,xdq,4972,https://github.com/common-voice/common-voice/issues/4972,LOCALISATION REQUEST: KAITAG,closed,2025-07-09T14:04:08Z
Kreol Morisien,iso,4962,https://github.com/common-voice/common-voice/issues/4962,LOCALISATION REQUEST: Kreol Morisien `mfe`,closed,2025-07-01T16:43:13Z
Qashqai,qxq,4958,https://github.com/common-voice/common-voice/issues/4958,LOCALISATION REQUEST: LOCALISATION REQUEST: Qashqai,closed,2025-06-27T16:39:47Z
Abaza,abq,4943,https://github.com/common-voice/common-voice/issues/4943,LOCALISATION REQUEST: Abaza language (abq),closed,2025-06-18T08:59:03Z
Afrikaans,af,4939,https://github.com/common-voice/common-voice/issues/4939,LOCALISATION REQUEST: Afrikaans,closed,2025-06-15T12:38:19Z
Mara,mrh,4936,https://github.com/common-voice/common-voice/issues/4936,LOCALISATION REQUEST: Mara `mrh`,closed,2025-06-13T21:37:20Z
KASEM,xsm,4925,https://github.com/common-voice/common-voice/issues/4925,LOCALISATION REQUEST: KASEM,closed,2025-06-08T07:34:28Z
DAGBANI,dag,4924,https://github.com/common-voice/common-voice/issues/4924,LOCALISATION REQUEST: DAGBANI,closed,2025-06-08T07:31:34Z
GA,gaa,4923,https://github.com/common-voice/common-voice/issues/4923,LOCALISATION REQUEST: GA,closed,2025-06-08T07:28:14Z
Bodo,brx,4919,https://github.com/common-voice/common-voice/issues/4919,LOCALISATION REQUEST: Bodo(brx),closed,2025-05-31T23:21:12Z
Shona,sn,4907,https://github.com/common-voice/common-voice/issues/4907,LOCALISATION REQUEST: Shona,closed,2025-05-22T11:17:56Z
Latin,la,4877,https://github.com/common-voice/common-voice/issues/4877,LOCALISATION REQUEST: Latin (la),open,2025-04-17T23:18:25Z
Iban,iba,4871,https://github.com/common-voice/common-voice/issues/4871,Request to Add Iban Language to Common Voice,closed,2025-04-15T06:00:06Z
Achomi,lrl,4833,https://github.com/common-voice/common-voice/issues/4833,LOCALISATION REQUEST:,closed,2025-03-16T09:02:13Z
Kirundi,run,4797,https://github.com/common-voice/common-voice/issues/4797,LOCALISATION REQUEST: Kirundi,closed,2025-02-17T22:56:32Z
Kikamba,kam,4796,https://github.com/common-voice/common-voice/issues/4796,LOCALISATION REQUEST: Kikamba,closed,2025-02-17T15:19:43Z
Alsacien and variants,the,4779,https://github.com/common-voice/common-voice/issues/4779,LOCALISATION REQUEST: Alsacien and variants,closed,2025-02-04T08:16:02Z
Aromanian,iso,4775,https://github.com/common-voice/common-voice/issues/4775,LOCALISATION REQUEST:  Aromanian,closed,2025-01-28T10:44:42Z
Moroccan Darija,ary,4769,https://github.com/common-voice/common-voice/issues/4769,LOCALISATION REQUEST: Moroccan Darija,closed,2025-01-25T20:33:38Z
KASHMIRI,ks,4767,https://github.com/common-voice/common-voice/issues/4767,LOCALISATION REQUEST:  To INCLUDE KASHMIRI ,closed,2025-01-24T17:27:11Z
Newari,new,4766,https://github.com/common-voice/common-voice/issues/4766,LOCALISATION REQUEST:  LOCALISATION REQUEST: Nepalbhasa (ujjwalr@gmail.com),closed,2025-01-24T17:06:23Z
Runyoro,rnr,4765,https://github.com/common-voice/common-voice/issues/4765,LOCALISATION REQUEST FOR RUNYORO LANGUAGE,open,2025-01-24T04:25:59Z
Jamaican Patois,jam,4764,https://github.com/common-voice/common-voice/issues/4764,LOCALISATION REQUEST:  LOCALISATION REQUEST: Jamaican Patois,closed,2025-01-23T19:25:38Z
Dinka,din,4731,https://github.com/common-voice/common-voice/issues/4731,LOCALISATION REQUEST: Dinka,closed,2024-12-29T20:52:53Z
Ladin (Gherdëina),lld,4726,https://github.com/common-voice/common-voice/issues/4726,LOCALISATION REQUEST: Ladin (Gherdëina),closed,2024-12-19T10:58:53Z
Ladin (Val Badia),lld,4725,https://github.com/common-voice/common-voice/issues/4725,LOCALISATION REQUEST: Ladin (Val Badia) ,closed,2024-12-19T10:47:28Z
Qarachay-Malqar,krc,4685,https://github.com/common-voice/common-voice/issues/4685,LOCALISATION REQUEST: Qarachay-Malqar,closed,2024-11-04T18:23:13Z
Manx,gv,4676,https://github.com/common-voice/common-voice/issues/4676,New Language Localisation Request: Manx,closed,2024-10-28T14:59:01Z
Karnataka Konkani,kok,4673,https://github.com/common-voice/common-voice/issues/4673,LOCALISATION REQUEST:  Karnataka Konkani,open,2024-10-26T05:50:35Z
EWE,ee,4607,https://github.com/common-voice/common-voice/issues/4607,LOCALISATION REQUEST: EWE,closed,2024-09-05T12:31:15Z
Puno Quechua,qxp,4591,https://github.com/common-voice/common-voice/issues/4591,LOCALISATION REQUEST:  Puno Quechua,closed,2024-08-14T20:12:09Z
Afar,aa,4561,https://github.com/common-voice/common-voice/issues/4561,LOCALISATION REQUEST: Afar Language,closed,2024-07-26T17:35:36Z
Croatian,hr,4557,https://github.com/common-voice/common-voice/issues/4557,LOCALISATION REQUEST: Croatian,closed,2024-07-22T15:45:40Z
Dargwa,dar,4504,https://github.com/common-voice/common-voice/issues/4504,LOCALISATION REQUEST: Dargwa ,closed,2024-06-10T21:20:02Z
Tarifit,rif,4497,https://github.com/common-voice/common-voice/issues/4497,LOCALISATION REQUEST: Adding Tarifit (Tamazight language) to Pontoon for Localisation,closed,2024-06-02T19:28:20Z
Shan,shn,4488,https://github.com/common-voice/common-voice/issues/4488,LOCALISATION REQUEST for Shan (ISO-639-3: shn) language,closed,2024-05-26T08:34:18Z
Nkoo,nqo,4466,https://github.com/common-voice/common-voice/issues/4466,LOCALISATION REQUEST: nqo_Nkoo,closed,2024-05-02T16:57:21Z
Gronings,gos,4424,https://github.com/common-voice/common-voice/issues/4424,LOCALISATION REQUEST: Gronings,closed,2024-04-02T12:48:47Z
Balochi,bal,4384,https://github.com/common-voice/common-voice/issues/4384,LOCALISATION REQUEST: Balochi,closed,2024-02-28T11:52:13Z
KALENJIN,kln,4347,https://github.com/common-voice/common-voice/issues/4347,LOCALISATION REQUEST FOR KALENJIN LANGUAGE [kln],closed,2024-01-28T18:35:54Z
Dholuo [luo],luo,4339,https://github.com/common-voice/common-voice/issues/4339,LOCALIZATION REQUEST: Dholuo [luo],closed,2024-01-23T09:50:12Z
Kalenjin [kln],kln,4335,https://github.com/common-voice/common-voice/issues/4335,LOCALISATION REQUEST: Kalenjin [kln],closed,2024-01-22T16:47:03Z
Kidaw'ida [dav],dav,4331,https://github.com/common-voice/common-voice/issues/4331,LOCALISATION REQUEST: Kidaw'ida [dav],closed,2024-01-22T14:38:16Z
for Pular Guinée,iso,4223,https://github.com/common-voice/common-voice/issues/4223,LOCALIZATION REQUEST: for Pular Guinée,closed,2023-10-30T22:02:07Z
Emakhuwa [vmw],vmw,4164,https://github.com/common-voice/common-voice/issues/4164,LOCALISATION REQUEST: Emakhuwa [vmw],closed,2023-09-07T22:17:33Z
Gujarati,gu,4159,https://github.com/common-voice/common-voice/issues/4159,LOCALISATION REQUEST: Gujarati,closed,2023-08-30T15:01:44Z
EWONDO,ewo,4157,https://github.com/common-voice/common-voice/issues/4157,LOCALISATION REQUEST:  EWONDO,closed,2023-08-27T12:12:18Z
Latgalian,ltg,4060,https://github.com/common-voice/common-voice/issues/4060,LOCALISATION REQUEST: ,closed,2023-05-27T17:06:57Z
Balti [bft],bft,3923,https://github.com/common-voice/common-voice/issues/3923,LOCALISATION REQUEST: Balti [bft],closed,2023-01-21T14:47:27Z
Náhuatl de la Sierra oeste de Puebla,nhi,3889,https://github.com/common-voice/common-voice/issues/3889,LOCALISATION REQUEST: Náhuatl de la Sierra oeste de Puebla,closed,2022-12-19T19:19:56Z
Hunsrik,hrx,3887,https://github.com/common-voice/common-voice/issues/3887,LOCALISATION REQUEST: Hunsrik,closed,2022-12-15T21:25:25Z
Eastern Huasteca Nahuatl,nhe,3879,https://github.com/common-voice/common-voice/issues/3879,LOCALISATION REQUEST: ,closed,2022-12-07T02:29:37Z
Tuvan language,tyv,3862,https://github.com/common-voice/common-voice/issues/3862,LOCALISATION REQUEST: Tuvan language,closed,2022-11-15T14:03:21Z
Wolof Language,wo,3861,https://github.com/common-voice/common-voice/issues/3861,LOCALISATION REQUEST:  Wolof Language,closed,2022-11-15T09:23:28Z
Mədʉ̂mbὰ (byv),byv,3846,https://github.com/common-voice/common-voice/issues/3846,LOCALIZATION REQUEST: Mədʉ̂mbὰ (byv),closed,2022-10-28T22:13:45Z
Udmurt,udm,3828,https://github.com/common-voice/common-voice/issues/3828,LOCALIZATION REQUEST: udm,closed,2022-10-14T06:43:06Z
"Min Dong Chinese (Eastern Min, Foochowese, 閩東語, 福州話) language",cdo,3787,https://github.com/common-voice/common-voice/issues/3787,"LOCALIZATION REQUEST:  Min Dong Chinese (Eastern Min, Foochowese, 閩東語, 福州話) language",closed,2022-09-07T14:30:55Z
Northern Sotho,nso,3679,https://github.com/common-voice/common-voice/issues/3679,New Language Localization Request: Northern Sotho,closed,2022-04-29T06:14:40Z
Telugu language,ple,3508,https://github.com/common-voice/common-voice/issues/3508,Telugu language,closed,2022-03-10T00:18:12Z
Toki Pona,tok,3435,https://github.com/common-voice/common-voice/issues/3435,Add Toki Pona,closed,2022-01-28T15:16:20Z
Bengali/বাঙালা,bn,3414,https://github.com/common-voice/common-voice/issues/3414,Bengali/বাঙালা,closed,2022-01-20T10:28:34Z
Quechua (runa simi),qu,3373,https://github.com/common-voice/common-voice/issues/3373,Request to add quechua (runa simi) language,closed,2021-11-29T05:12:52Z
Turkmen language,tk,3340,https://github.com/common-voice/common-voice/issues/3340,Turkmen language localization request,closed,2021-11-12T10:44:10Z
Tigre Language,tig,3338,https://github.com/common-voice/common-voice/issues/3338,LOCALIZATION REQUEST: Tigre Language,closed,2021-11-08T02:48:58Z
Meetei,mni,3336,https://github.com/common-voice/common-voice/issues/3336,Meetei,closed,2021-11-04T16:12:00Z
Igbo,ig,3274,https://github.com/common-voice/common-voice/issues/3274,LOCALIZATION REQUEST: ,closed,2021-09-27T14:55:19Z
Konkani,kok,3266,https://github.com/common-voice/common-voice/issues/3266,LOCALIZATION REQUEST: ,closed,2021-09-20T17:01:42Z
